pID;Mass Concentration
pCDE067;
pCDE068;
pCDE069;
pMYT015;
pMYT018;
pUPR066;
pYSD002;
pYSD004;
pYSD005;
pYSD007;
pYSD008;
pYSD009;
pYSD080;
pYSD081;
pYSD082;
pYSD083;
pYSD084;
pYTK002;
pYTK003;
pYTK004;
pYTK005;
pYTK006;
pYTK007;
pYTK010;
pYTK025;
pYTK033;
pYTK053;
pYTK054;
pYTK055;
pYTK066;
pYTK067;
pYTK068;
pYTK069;
pYTK070;
pYTK071;
pYTK072;
pYTK095;
