pIB001 pTET-SPsuc2-EGII-AGA2-tTDH1,pYTK002,pMYT015,pYSD004,pCDE067,pYSD081,pYTK066,pYTK067,pYTK095
pIB002 pTET-SPplb1-EGII-AGA2-tTDH1,pYTK002,pMYT015,pYSD008,pCDE067,pYSD081,pYTK066,pYTK067,pYTK095
pIB003 pTET-SPksh1-EGII-AGA2-tTDH1,pYTK002,pMYT015,pYSD005,pCDE067,pYSD081,pYTK066,pYTK067,pYTK095
pIB004 pTET-SPsrl1-EGII-AGA2-tTDH1,pYTK002,pMYT015,pYSD009,pCDE067,pYSD081,pYTK066,pYTK067,pYTK095
pIB005 pTET-SPcrh1-EGII-AGA2-tTDH1,pYTK002,pMYT015,pYSD002,pCDE067,pYSD081,pYTK066,pYTK067,pYTK095
pIB006 pTET-SPost1p-EGII-AGA2-tTDH1,pYTK002,pMYT015,pYSD007,pCDE067,pYSD081,pYTK066,pYTK067,pYTK095
pIB007 pTET-SPsuc2-EGII-SED1-tTDH1,pYTK002,pMYT015,pYSD004,pCDE067,pYSD083,pYTK066,pYTK067,pYTK095
pIB008 pTET-SPplb1-EGII-SED1-tTDH1,pYTK002,pMYT015,pYSD008,pCDE067,pYSD083,pYTK066,pYTK067,pYTK095
pIB009 pTET-SPksh1-EGII-SED1-tTDH1,pYTK002,pMYT015,pYSD005,pCDE067,pYSD083,pYTK066,pYTK067,pYTK095
pIB010 pTET-SPsrl1-EGII-SED1-tTDH1,pYTK002,pMYT015,pYSD009,pCDE067,pYSD083,pYTK066,pYTK067,pYTK095
pIB011 pTET-SPcrh1-EGII-SED1-tTDH1,pYTK002,pMYT015,pYSD002,pCDE067,pYSD083,pYTK066,pYTK067,pYTK095
pIB012 pTET-SPost1p-EGII-SED1-tTDH1,pYTK002,pMYT015,pYSD007,pCDE067,pYSD083,pYTK066,pYTK067,pYTK095
pIB013 pTET-SPsuc2-EGII-TIP1-tTDH1,pYTK002,pMYT015,pYSD004,pCDE067,pYSD084,pYTK066,pYTK067,pYTK095
pIB014 pTET-SPplb1-EGII-TIP1-tTDH1,pYTK002,pMYT015,pYSD008,pCDE067,pYSD084,pYTK066,pYTK067,pYTK095
pIB015 pTET-SPksh1-EGII-TIP1-tTDH1,pYTK002,pMYT015,pYSD005,pCDE067,pYSD084,pYTK066,pYTK067,pYTK095
pIB016 pTET-SPsrl1-EGII-TIP1-tTDH1,pYTK002,pMYT015,pYSD009,pCDE067,pYSD084,pYTK066,pYTK067,pYTK095
pIB017 pTET-SPcrh1-EGII-TIP1-tTDH1,pYTK002,pMYT015,pYSD002,pCDE067,pYSD084,pYTK066,pYTK067,pYTK095
pIB018 pTET-SPost1p-EGII-TIP1-tTDH1,pYTK002,pMYT015,pYSD007,pCDE067,pYSD084,pYTK066,pYTK067,pYTK095
pIB019 pTET-SPsuc2-EGII-CWP2-tTDH1,pYTK002,pMYT015,pYSD004,pCDE067,pYSD082,pYTK066,pYTK067,pYTK095
pIB020 pTET-SPplb1-EGII-CWP2-tTDH1,pYTK002,pMYT015,pYSD008,pCDE067,pYSD082,pYTK066,pYTK067,pYTK095
pIB021 pTET-SPksh1-EGII-CWP2-tTDH1,pYTK002,pMYT015,pYSD005,pCDE067,pYSD082,pYTK066,pYTK067,pYTK095
pIB022 pTET-SPsrl1-EGII-CWP2-tTDH1,pYTK002,pMYT015,pYSD009,pCDE067,pYSD082,pYTK066,pYTK067,pYTK095
pIB023 pTET-SPcrh1-EGII-CWP2-tTDH1,pYTK002,pMYT015,pYSD002,pCDE067,pYSD082,pYTK066,pYTK067,pYTK095
pIB024 pTET-SPost1p-EGII-CWP2-tTDH1,pYTK002,pMYT015,pYSD007,pCDE067,pYSD082,pYTK066,pYTK067,pYTK095
pIB025 pTET-SPsuc2-CBHI-AGA2-tTDH1,pYTK003,pMYT015,pYSD004,pCDE069,pYSD081,pYTK066,pYTK068,pYTK095
pIB026 pTET-SPplb1-CBHI-AGA2-tTDH1,pYTK003,pMYT015,pYSD008,pCDE069,pYSD081,pYTK066,pYTK068,pYTK095
pIB027 pTET-SPksh1-CBHI-AGA2-tTDH1,pYTK003,pMYT015,pYSD005,pCDE069,pYSD081,pYTK066,pYTK068,pYTK095
pIB028 pTET-SPsrl1-CBHI-AGA2-tTDH1,pYTK003,pMYT015,pYSD009,pCDE069,pYSD081,pYTK066,pYTK068,pYTK095
pIB029 pTET-SPcrh1-CBHI-AGA2-tTDH1,pYTK003,pMYT015,pYSD002,pCDE069,pYSD081,pYTK066,pYTK068,pYTK095
pIB030 pTET-SPost1p-CBHI-AGA2-tTDH1,pYTK003,pMYT015,pYSD007,pCDE069,pYSD081,pYTK066,pYTK068,pYTK095
pIB031 pTET-SPsuc2-CBHI-SED1-tTDH1,pYTK003,pMYT015,pYSD004,pCDE069,pYSD083,pYTK066,pYTK068,pYTK095
pIB032 pTET-SPplb1-CBHI-SED1-tTDH1,pYTK003,pMYT015,pYSD008,pCDE069,pYSD083,pYTK066,pYTK068,pYTK095
pIB033 pTET-SPksh1-CBHI-SED1-tTDH1,pYTK003,pMYT015,pYSD005,pCDE069,pYSD083,pYTK066,pYTK068,pYTK095
pIB034 pTET-SPsrl1-CBHI-SED1-tTDH1,pYTK003,pMYT015,pYSD009,pCDE069,pYSD083,pYTK066,pYTK068,pYTK095
pIB035 pTET-SPcrh1-CBHI-SED1-tTDH1,pYTK003,pMYT015,pYSD002,pCDE069,pYSD083,pYTK066,pYTK068,pYTK095
pIB036 pTET-SPost1p-CBHI-SED1-tTDH1,pYTK003,pMYT015,pYSD007,pCDE069,pYSD083,pYTK066,pYTK068,pYTK095
pIB037 pTET-SPsuc2-CBHI-TIP1-tTDH1,pYTK003,pMYT015,pYSD004,pCDE069,pYSD084,pYTK066,pYTK068,pYTK095
pIB038 pTET-SPplb1-CBHI-TIP1-tTDH1,pYTK003,pMYT015,pYSD008,pCDE069,pYSD084,pYTK066,pYTK068,pYTK095
pIB039 pTET-SPksh1-CBHI-TIP1-tTDH1,pYTK003,pMYT015,pYSD005,pCDE069,pYSD084,pYTK066,pYTK068,pYTK095
pIB040 pTET-SPsrl1-CBHI-TIP1-tTDH1,pYTK003,pMYT015,pYSD009,pCDE069,pYSD084,pYTK066,pYTK068,pYTK095
pIB041 pTET-SPcrh1-CBHI-TIP1-tTDH1,pYTK003,pMYT015,pYSD002,pCDE069,pYSD084,pYTK066,pYTK068,pYTK095
pIB042 pTET-SPost1p-CBHI-TIP1-tTDH1,pYTK003,pMYT015,pYSD007,pCDE069,pYSD084,pYTK066,pYTK068,pYTK095
pIB043 pTET-SPsuc2-CBHI-CWP2-tTDH1,pYTK003,pMYT015,pYSD004,pCDE069,pYSD082,pYTK066,pYTK068,pYTK095
pIB044 pTET-SPplb1-CBHI-CWP2-tTDH1,pYTK003,pMYT015,pYSD008,pCDE069,pYSD082,pYTK066,pYTK068,pYTK095
