plasmid_id,h2o_volume,buffer,pCDE067__10x__,pCDE068__10x__,pCDE069__10x__,pMYT015__10x__,pMYT018__10x__,pUPR066__10x__,pYSD002__10x__,pYSD004__10x__,pYSD005__10x__,pYSD007__10x__,pYSD008__10x__,pYSD009__10x__,pYSD080__10x__,pYSD081__10x__,pYSD082__10x__,pYSD083__10x__,pYSD084__10x__,pYTK002__10x__,pYTK003__10x__,pYTK004__10x__,pYTK005__10x__,pYTK006__10x__,pYTK007__10x__,pYTK010__10x__,pYTK025__10x__,pYTK033__10x__,pYTK053__10x__,pYTK054__10x__,pYTK055__10x__,pYTK066__10x__,pYTK067__10x__,pYTK068__10x__,pYTK069__10x__,pYTK070__10x__,pYTK071__10x__,pYTK072__10x__,pYTK095__10x__,pCDE067,pCDE068,pCDE069,pMYT015,pMYT018,pUPR066,pYSD002,pYSD004,pYSD005,pYSD007,pYSD008,pYSD009,pYSD080,pYSD081,pYSD082,pYSD083,pYSD084,pYTK002,pYTK003,pYTK004,pYTK005,pYTK006,pYTK007,pYTK010,pYTK025,pYTK033,pYTK053,pYTK054,pYTK055,pYTK066,pYTK067,pYTK068,pYTK069,pYTK070,pYTK071,pYTK072,pYTK095
pIB049,0.0,2.0,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB050,0.0,2.0,,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB051,0.0,2.0,,1.0,,1.0,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB052,0.0,2.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB053,0.0,2.0,,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB054,0.0,2.0,,1.0,,1.0,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB055,0.0,2.0,,1.0,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB056,0.0,2.0,,1.0,,1.0,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB057,0.0,2.0,,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB058,0.0,2.0,,1.0,,1.0,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB059,0.0,2.0,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB060,0.0,2.0,,1.0,,1.0,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB061,0.0,2.0,,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB062,0.0,2.0,,1.0,,1.0,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB063,0.0,2.0,,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB064,0.0,2.0,,1.0,,1.0,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB065,0.0,2.0,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB066,0.0,2.0,,1.0,,1.0,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pIB067,0.0,2.0,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
