pID;Name;Type
pSA001;AmpRS1-pTDH3-Venus-tADH1;
pSA002;AmpRS1-pTEF2-Venus-tADH1;
pSA003;AmpRS1-pALD6-Venus-tADH1;
pSA004;AmpRS1-pREV1-Venus-tADH1;
